Tiempo (s),PWM (con signo),Posición (grados),Velocidad (grados/s),Vel_Estimada (grados/s)
70.47,500,2133,300.0,0.0
70.48,500,2136,300.0,0.0
70.49,500,2138,200.0,0.0
70.5,500,2141,300.0,0.0
70.51,500,2144,300.0,0.0
70.52,500,2147,300.0,0.0
70.53,500,2150,300.0,0.0
70.54,500,2153,300.0,0.0
70.55,500,2156,300.0,0.0
70.56,500,2159,300.0,0.0
70.57,500,2162,300.0,0.0
70.58,500,2165,300.0,0.0
70.59,500,2168,300.0,0.0
70.6,500,2171,300.0,0.0
70.61,500,2174,300.0,0.0
70.62,500,2177,300.0,0.0
70.63,500,2179,200.0,0.0
70.64,500,2182,300.0,0.0
70.65,500,2185,300.0,0.0
70.66,500,2188,300.0,0.0
70.67,500,2191,300.0,0.0
70.68,500,2194,300.0,0.0
70.69,500,2197,300.0,0.0
70.7,500,2200,300.0,0.0
70.71,500,2203,300.0,0.0
70.72,500,2206,300.0,0.0
70.73,500,2209,300.0,0.0
70.74,500,2212,300.0,0.0
70.75,500,2215,300.0,0.0
70.76,500,2217,200.0,0.0
70.77,500,2220,300.0,0.0
70.78,500,2223,300.0,0.0
70.79,500,2226,300.0,0.0
70.8,500,2229,300.0,0.0
70.81,500,2232,300.0,0.0
70.82,500,2235,300.0,0.0
70.83,500,2238,300.0,0.0
70.84,500,2241,300.0,0.0
70.85,500,2244,300.0,0.0
70.86,500,2247,300.0,0.0
70.87,500,2250,300.0,0.0
70.88,500,2253,300.0,0.0
70.89,500,2256,300.0,0.0
70.9,500,2258,200.0,0.0
70.91,500,2261,300.0,0.0
70.92,500,2264,300.0,0.0
70.93,500,2267,300.0,0.0
70.94,500,2270,300.0,0.0
70.95,500,2273,300.0,0.0
70.96,500,2276,300.0,0.0
70.97,500,2279,300.0,0.0
70.98,500,2282,300.0,0.0
70.99,500,2285,300.0,0.0
71.0,500,2288,300.0,0.0
71.01,500,2291,300.0,0.0
71.02,500,2293,200.0,0.0
71.03,500,2296,300.0,0.0
71.04,500,2299,300.0,0.0
71.05,500,2302,300.0,0.0
71.06,500,2305,300.0,0.0
71.07,500,2308,300.0,0.0
71.08,500,2311,300.0,0.0
71.09,500,2314,300.0,0.0
71.1,500,2317,300.0,0.0
71.11,500,2320,300.0,0.0
71.12,500,2323,300.0,0.0
71.13,500,2326,300.0,0.0
71.14,500,2329,300.0,0.0
71.15,500,2332,300.0,0.0
71.16,500,2334,200.0,0.0
71.17,500,2337,300.0,0.0
71.18,500,2340,300.0,0.0
